"var.names","mean","2.5%","97.5%","Rhat","actual.val","p.yr","mu.psi","r","case","sp"
"sigma.psi.sp",0.854,0.706,1.019,1.014,0.5,"0.5","0","5","allall","ms"
"mu.psi.yr",0.007,-0.04,0.055,1.004,0,"0.5","0","5","allall","ms"
"sigma.psi.yr",0.142,0.097,0.193,1.009,0.2,"0.5","0","5","allall","ms"
"mu.p",-1.291,-1.59,-1.037,2.099,-0.5,"0.5","0","5","allall","ms"
"sigma.p.sp",2.543,2.223,3.017,1.025,NA,"0.5","0","5","allall","ms"
"p.yr",0.4,0.193,0.603,1.335,0.5,"0.5","0","5","allall","ms"
"sigma.p.site",2.638,2.563,2.696,1.007,1.5,"0.5","0","5","allall","ms"
"per_chage_bci",0.521981517358806,-2.98618983119476,4.18785030679376,NA,0,"0.5","0","5","allall","ms"
"mu.psi",-1.027,-1.275,-0.846,3.019,0,"1","0","5","allall","ms"
"sigma.psi.sp",0.86,0.723,1.055,1.056,0.5,"1","0","5","allall","ms"
"mu.psi.yr",-0.042,-0.103,0.016,1.02,0,"1","0","5","allall","ms"
"sigma.psi.yr",0.219,0.171,0.273,1.006,0.2,"1","0","5","allall","ms"
"mu.p",-1.53,-2.024,-1.189,2.829,-0.5,"1","0","5","allall","ms"
"sigma.p.sp",2.779,2.334,3.358,1.004,NA,"1","0","5","allall","ms"
"p.yr",0.984,0.762,1.15,1.257,1,"1","0","5","allall","ms"
"sigma.p.site",2.782,2.705,2.857,1.009,1.5,"1","0","5","allall","ms"
"per_chage_bci",-3.03460341700135,-7.30017929664909,1.15673148206124,NA,0,"1","0","5","allall","ms"
"mu.psi",-0.977,-1.099,-0.836,1.619,0,"-0.5","0","6","allall","ms"
"sigma.psi.sp",0.965,0.814,1.141,1.032,0.5,"-0.5","0","6","allall","ms"
"mu.psi.yr",0.006,-0.047,0.057,1.02,0,"-0.5","0","6","allall","ms"
"sigma.psi.yr",0.158,0.111,0.211,1.026,0.2,"-0.5","0","6","allall","ms"
"mu.p",-1.459,-2.154,-1.027,3.79,-0.5,"-0.5","0","6","allall","ms"
"sigma.p.sp",2.345,1.969,2.792,1.006,NA,"-0.5","0","6","allall","ms"
"p.yr",-0.515,-0.638,-0.362,1.217,-0.5,"-0.5","0","6","allall","ms"
"sigma.p.site",2.594,2.523,2.666,1.015,1.5,"-0.5","0","6","allall","ms"
"per_chage_bci",0.434829380053295,-3.34650964015486,4.14210072766466,NA,0,"-0.5","0","6","allall","ms"
"mu.psi",-1.089,-1.219,-0.883,1.128,0,"-1","0","6","allall","ms"
"sigma.psi.sp",0.887,0.743,1.057,1.003,0.5,"-1","0","6","allall","ms"
"mu.psi.yr",-0.012,-0.067,0.06,1.045,0,"-1","0","6","allall","ms"
"sigma.psi.yr",0.174,0.11,0.249,1.065,0.2,"-1","0","6","allall","ms"
"mu.p",-1.543,-2.214,-1.061,4.865,-0.5,"-1","0","6","allall","ms"
"sigma.p.sp",2.356,1.938,2.797,1.002,NA,"-1","0","6","allall","ms"
"p.yr",-0.969,-1.186,-0.83,1.162,-1,"-1","0","6","allall","ms"
"sigma.p.site",2.453,2.389,2.526,1.017,1.5,"-1","0","6","allall","ms"
"per_chage_bci",-0.836701022242689,-4.92073076111004,4.60951397647815,NA,0,"-1","0","6","allall","ms"
"mu.psi",-1.183,-1.29,-1.09,1.172,0,"0","0","6","allall","ms"
"sigma.psi.sp",0.859,0.737,1.023,1.003,0.5,"0","0","6","allall","ms"
"mu.psi.yr",-0.013,-0.059,0.027,1.034,0,"0","0","6","allall","ms"
"sigma.psi.yr",0.121,0.082,0.168,1.032,0.2,"0","0","6","allall","ms"
"mu.p",-1.543,-2.095,-1.078,3.419,-0.5,"0","0","6","allall","ms"
"sigma.p.sp",2.293,1.938,2.718,1.023,NA,"0","0","6","allall","ms"
"p.yr",0.047,-0.139,0.222,1.244,0,"0","0","6","allall","ms"
"sigma.p.site",2.506,2.445,2.579,1,1.5,"0","0","6","allall","ms"
"per_chage_bci",-0.98140831924491,-4.43099440138901,2.11704763620184,NA,0,"0","0","6","allall","ms"
"mu.psi",-1.125,-1.205,-0.993,1.652,0,"0.5","0","6","allall","ms"
"sigma.psi.sp",0.813,0.686,0.954,0.998,0.5,"0.5","0","6","allall","ms"
"mu.psi.yr",0.011,-0.033,0.06,1.007,0,"0.5","0","6","allall","ms"
"sigma.psi.yr",0.165,0.12,0.217,1.005,0.2,"0.5","0","6","allall","ms"
"mu.p",-1.52,-1.993,-1.062,3.408,-0.5,"0.5","0","6","allall","ms"
"sigma.p.sp",2.439,2.082,2.912,1.031,NA,"0.5","0","6","allall","ms"
"p.yr",0.498,0.346,0.642,1.209,0.5,"0.5","0","6","allall","ms"
"sigma.p.site",2.603,2.535,2.669,1,1.5,"0.5","0","6","allall","ms"
"per_chage_bci",0.875608969255107,-2.50159370570767,4.57776214737224,NA,0,"0.5","0","6","allall","ms"
"mu.psi",-0.949,-1.142,-0.55,2.392,0,"1","0","6","allall","ms"
"sigma.psi.sp",0.962,0.806,1.17,1.128,0.5,"1","0","6","allall","ms"
"mu.psi.yr",0.078,0.034,0.121,1.002,0,"1","0","6","allall","ms"
"sigma.psi.yr",0.108,0.066,0.152,1.027,0.2,"1","0","6","allall","ms"
"mu.p",-1.528,-1.705,-1.334,1.14,-0.5,"1","0","6","allall","ms"
"sigma.p.sp",2.656,2.236,3.2,1.003,NA,"1","0","6","allall","ms"
"p.yr",0.947,0.773,1.111,1.228,1,"1","0","6","allall","ms"
"sigma.p.site",2.631,2.566,2.698,1,1.5,"1","0","6","allall","ms"
"per_chage_bci",5.68704818301152,2.4308833874446,9.15379941256483,NA,0,"1","0","6","allall","ms"
"mu.psi",-0.976,-1.086,-0.825,1.599,0,"-0.5","0","7","allall","ms"
"sigma.psi.sp",0.962,0.822,1.123,1.021,0.5,"-0.5","0","7","allall","ms"
"mu.psi.yr",-0.021,-0.065,0.029,1.029,0,"-0.5","0","7","allall","ms"
"sigma.psi.yr",0.117,0.074,0.172,1.033,0.2,"-0.5","0","7","allall","ms"
"mu.p",-1.549,-1.94,-1.295,2.241,-0.5,"-0.5","0","7","allall","ms"
"sigma.p.sp",2.253,1.875,2.695,0.999,NA,"-0.5","0","7","allall","ms"
"p.yr",-0.535,-0.698,-0.344,1.45,-0.5,"-0.5","0","7","allall","ms"
"sigma.p.site",2.413,2.345,2.477,1.002,1.5,"-0.5","0","7","allall","ms"
"per_chage_bci",-1.48884628251262,-4.61296361646612,2.13524636556505,NA,0,"-0.5","0","7","allall","ms"
"mu.psi",-1.217,-1.399,-0.921,1.214,0,"-1","0","7","allall","ms"
"sigma.psi.sp",0.875,0.729,1.052,1.044,0.5,"-1","0","7","allall","ms"
"mu.psi.yr",-0.017,-0.078,0.055,1.006,0,"-1","0","7","allall","ms"
"sigma.psi.yr",0.234,0.177,0.302,1.04,0.2,"-1","0","7","allall","ms"
