"var.names","mean","2.5%","97.5%","Rhat","actual.val","mu.psi.yr","mu.psi","r","case","sp"
"p.yr",-0.473,-0.602,-0.347,1.1,-0.5,"0.5","0","5","allall","ms"
"sigma.p.site",2.473,2.408,2.542,1.009,1.5,"0.5","0","5","allall","ms"
"per_chage_bci",24.1872802309207,20.0574593493825,29.2012312917952,NA,24.4918662403709,"0.5","0","5","allall","ms"
"mu.psi",-1.132,-1.349,-0.983,1.744,0,"1","0","5","allall","ms"
"sigma.psi.sp",0.856,0.703,1.02,0.998,0.5,"1","0","5","allall","ms"
"mu.psi.yr",0.539,0.454,0.629,1.006,1,"1","0","5","allall","ms"
"sigma.psi.yr",0.306,0.236,0.386,1.015,0.2,"1","0","5","allall","ms"
"mu.p",-1.559,-1.759,-1.215,1.652,-0.5,"1","0","5","allall","ms"
"sigma.p.sp",2.424,2.039,2.957,1.003,NA,"1","0","5","allall","ms"
"p.yr",-0.344,-0.508,-0.167,1.146,-0.5,"1","0","5","allall","ms"
"sigma.p.site",2.497,2.436,2.569,0.998,1.5,"1","0","5","allall","ms"
"per_chage_bci",46.0307688374006,37.5167418633154,54.6414352606667,NA,46.211715726001,"1","0","5","allall","ms"
"mu.psi",-0.97,-1.169,-0.85,1.823,0,"-0.5","0","6","allall","ms"
"sigma.psi.sp",0.973,0.808,1.187,1.025,0.5,"-0.5","0","6","allall","ms"
"mu.psi.yr",-0.343,-0.4,-0.291,1.04,-0.5,"-0.5","0","6","allall","ms"
"sigma.psi.yr",0.153,0.106,0.213,1.015,0.2,"-0.5","0","6","allall","ms"
"mu.p",-1.236,-1.543,-0.956,1.603,-0.5,"-0.5","0","6","allall","ms"
"sigma.p.sp",2.388,2.018,2.873,1.007,NA,"-0.5","0","6","allall","ms"
"p.yr",-0.574,-0.726,-0.4,1.005,-0.5,"-0.5","0","6","allall","ms"
"sigma.p.site",2.634,2.565,2.71,1.001,1.5,"-0.5","0","6","allall","ms"
"per_chage_bci",-22.853475791268,-26.1429589280194,-19.5233587565429,NA,-24.4918662403709,"-0.5","0","6","allall","ms"
"mu.psi",-1.023,-1.156,-0.854,1.556,0,"-1","0","6","allall","ms"
"sigma.psi.sp",0.861,0.728,1.009,1.009,0.5,"-1","0","6","allall","ms"
"mu.psi.yr",-0.75,-0.819,-0.687,1.011,-1,"-1","0","6","allall","ms"
"sigma.psi.yr",0.198,0.149,0.261,1.028,0.2,"-1","0","6","allall","ms"
"mu.p",-1.354,-1.763,-0.761,7.171,-0.5,"-1","0","6","allall","ms"
"sigma.p.sp",2.459,2.063,2.965,1.048,NA,"-1","0","6","allall","ms"
"p.yr",-0.546,-0.691,-0.372,1.188,-0.5,"-1","0","6","allall","ms"
"sigma.p.site",2.523,2.436,2.6,1.005,1.5,"-1","0","6","allall","ms"
"per_chage_bci",-45.0638476786171,-48.4590643680845,-41.8801734254539,NA,-46.211715726001,"-1","0","6","allall","ms"
"mu.psi",-1.084,-1.208,-0.947,1.122,0,"0","0","6","allall","ms"
"sigma.psi.sp",0.869,0.728,1.022,1.013,0.5,"0","0","6","allall","ms"
"mu.psi.yr",-0.03,-0.08,0.016,1.02,0,"0","0","6","allall","ms"
"sigma.psi.yr",0.118,0.068,0.178,0.998,0.2,"0","0","6","allall","ms"
"mu.p",-1.722,-2.127,-1.191,5.928,-0.5,"0","0","6","allall","ms"
"sigma.p.sp",2.263,1.952,2.698,1.003,NA,"0","0","6","allall","ms"
"p.yr",-0.433,-0.588,-0.299,1.124,-0.5,"0","0","6","allall","ms"
"sigma.p.site",2.452,2.387,2.515,1.006,1.5,"0","0","6","allall","ms"
"per_chage_bci",-2.19990948660065,-5.72524036523482,1.22507931293341,NA,0,"0","0","6","allall","ms"
"mu.psi",-1.143,-1.281,-0.947,1.997,0,"0.5","0","6","allall","ms"
"sigma.psi.sp",0.829,0.689,1.023,1.005,0.5,"0.5","0","6","allall","ms"
