"sp","mean_baseline","mean_current","per_change","p.yr","mu.v.yr","r","case","actual.change"
"44",0.523230769230769,0.632564102564103,20.8958149563854,"1","-0.5","8","all",-5.8197822231714
"45",0.402222222222222,0.781986531986532,94.416541101624,"1","-0.5","8","all",19.757220821471
"46",0.614259259259259,0.682208994708995,11.0620612429476,"1","-0.5","8","all",-0.275908349210148
"47",0.533031914893617,0.644858156028369,20.9792768519443,"1","-0.5","8","all",-1.3929319235406
"48",0.633767195767196,0.681873015873016,7.59045599505769,"1","-0.5","8","all",-5.26456744912276
"49",0.583646788990826,0.654396024464832,12.1219266187239,"1","-0.5","8","all",7.81046375027588
"5",0.68511839708561,0.547586520947177,-20.0741764815356,"1","-0.5","8","all",-13.9448571283133
"50",0.553646532438479,0.601409395973154,8.62695975432358,"1","-0.5","8","all",-6.34896253248068
"52",0.551538461538462,0.571089743589744,3.54486285448629,"1","-0.5","8","all",-16.712954951148
"53",0.580263157894737,0.557894736842105,-3.85487528344671,"1","-0.5","8","all",-8.18886643056444
"54",0.478308457711443,0.657313432835821,37.4245891408363,"1","-0.5","8","all",14.7488581564737
"55",0.593492063492064,0.640333333333333,7.89248462155656,"1","-0.5","8","all",0.617068849367396
"56",0.578573573573574,0.555735735735736,-3.9472659798095,"1","-0.5","8","all",-2.01513558028542
"57",0.589579945799458,0.621192411924119,5.36186251752429,"1","-0.5","8","all",7.35064002311694
"58",0.601784420289855,0.581141304347826,-3.43031744359319,"1","-0.5","8","all",-17.1237005846885
"59",0.586652601969058,0.636962025316456,8.57567548128792,"1","-0.5","8","all",2.05320511655594
"6",0.59361875637105,0.648185524974516,9.19222447367516,"1","-0.5","8","all",1.53591387907488
"60",0.591472527472527,0.659758241758242,11.5450356718193,"1","-0.5","8","all",-0.297370805724081
"61",0.621501831501831,0.603179487179487,-2.94807567631283,"1","-0.5","8","all",-6.49919904598888
"62",0.64047619047619,0.541388888888889,-15.4708798017348,"1","-0.5","8","all",-12.9508413298251
"63",0.515611510791367,0.614268585131895,19.1339937677317,"1","-0.5","8","all",9.4497569019983
"64",0.594912280701754,0.620730994152047,4.33991939447557,"1","-0.5","8","all",-7.12228496673301
"65",0.669237668161435,0.547698056801196,-18.1609041365139,"1","-0.5","8","all",-16.3045013411111
"66",0.617275362318841,0.625521739130435,1.33593163035311,"1","-0.5","8","all",-2.5185825441909
"7",0.528372930165587,0.693909287257019,31.3294545652737,"1","-0.5","8","all",5.03164360738321
"8",0.472011494252874,0.625708812260536,32.5621981411583,"1","-0.5","8","all",2.51831351139343
"9",0.503015873015873,0.64320987654321,27.8706917709758,"1","-0.5","8","all",8.58401805239083
"1",0.565880341880342,0.651521367521367,15.1341227646206,"1","0","8","all",-3.31415097644235
"10",0.452922824302135,0.663694581280788,46.5359097995142,"1","0","8","all",-6.72613327876907
"11",0.462782051282051,0.726474358974359,56.9798044158794,"1","0","8","all",0.649821623740562
"12",0.586100628930818,0.628784067085954,7.28261258361055,"1","0","8","all",-15.3363318656675
"13",0.467231968810916,0.687270955165692,47.0941632942551,"1","0","8","all",2.4166308034205
"14",0.589715189873418,0.695806962025316,17.9903407566407,"1","0","8","all",-2.51182521988512
"15",0.551861111111111,0.622064814814815,12.7212630660559,"1","0","8","all",-9.24169600997201
"16",0.563584117032393,0.75926854754441,34.7214239362195,"1","0","8","all",7.52201572263683
"17",0.53772536687631,0.639926624737945,19.006218444804,"1","0","8","all",-5.88750034704726
"18",0.551906187624751,0.645269461077844,16.9165114554891,"1","0","8","all",-8.64004958730394
"19",0.568363858363858,0.681452991452991,19.8973125093987,"1","0","8","all",0.0511017487469038
"2",0.486139088729017,0.709808153477218,46.009273875296,"1","0","8","all",4.24578918894015
"20",0.546413043478261,0.553188405797101,1.2399708242159,"1","0","8","all",-8.00536717315077
"21",0.536037527593819,0.657715231788079,22.6994749305055,"1","0","8","all",10.1383034416208
"22",0.47264631043257,0.64910941475827,37.3351278600269,"1","0","8","all",-5.61981338170014
"23",0.549235245220283,0.657905236907731,19.7856915835515,"1","0","8","all",-4.51522659046707
"24",0.544598214285714,0.688459821428571,26.4160996803017,"1","0","8","all",-3.77899841721941
"25",0.617390965732087,0.623411214953271,0.975111324158293,"1","0","8","all",-8.28640517873149
"26",0.434850187265918,0.670674157303371,54.2310839326472,"1","0","8","all",5.48978740167107
"27",0.50179012345679,0.690814814814815,37.6700701193259,"1","0","8","all",5.73686774019514
"28",0.565178907721281,0.655065913370998,15.9041684715604,"1","0","8","all",-5.59591393175052
"29",0.529194847020934,0.662085346215781,25.1118278915498,"1","0","8","all",1.76450604235832
"3",0.625061728395062,0.622460317460317,-0.416184644902785,"1","0","8","all",-13.2733674589413
"30",0.558833333333333,0.588333333333333,5.2788547569341,"1","0","8","all",-15.3088852151286
"31",0.436233766233766,0.731471861471861,67.6788726803612,"1","0","8","all",11.6991387682871
"32",0.596042446941323,0.667965043695381,12.0666904048761,"1","0","8","all",-7.93469634405829
"33",0.49689594356261,0.647865961199295,30.3826222758572,"1","0","8","all",2.26775818540832
