"var.names","mean","2.5%","97.5%","Rhat","actual.val","p.yr","mu.v.yr","r","case","sp"
"sigma.p.site",1.59,1.539,1.641,1.013,1.5,"0.5","-0.5","10","all","ms"
"per_chage_bci",9.52305687486503,4.38786500817434,14.9874432419839,NA,0,"0.5","-0.5","10","all","ms"
"mu.psi",0.512,0.339,0.633,1.485,0,"0.5","0","10","all","ms"
"sigma.psi.sp",0.554,0.454,0.682,1.001,0.5,"0.5","0","10","all","ms"
"mu.psi.yr",0.006,-0.101,0.109,1.017,0,"0.5","0","10","all","ms"
"sigma.psi.yr",0.281,0.202,0.382,1,0.2,"0.5","0","10","all","ms"
"mu.p",-2.069,-2.197,-1.955,1.013,-0.5,"0.5","0","10","all","ms"
"sigma.p.sp",0.294,0.24,0.361,1,NA,"0.5","0","10","all","ms"
"p.yr",0.367,0.252,0.489,1.047,0.5,"0.5","0","10","all","ms"
"sigma.p.site",1.497,1.452,1.543,1.003,1.5,"0.5","0","10","all","ms"
"per_chage_bci",0.254720596176628,-3.62260416458183,4.07827378809332,NA,0,"0.5","0","10","all","ms"
"mu.psi",0.393,0.274,0.525,1.093,0,"1","-0.5","10","all","ms"
"sigma.psi.sp",0.595,0.499,0.727,1.02,0.5,"1","-0.5","10","all","ms"
"mu.psi.yr",0.32,0.207,0.433,1.004,0,"1","-0.5","10","all","ms"
"sigma.psi.yr",0.32,0.233,0.426,1.023,0.2,"1","-0.5","10","all","ms"
"mu.p",-2.2,-2.323,-2.07,1.072,-0.5,"1","-0.5","10","all","ms"
"sigma.p.sp",0.295,0.246,0.36,1.002,NA,"1","-0.5","10","all","ms"
"p.yr",-0.035,-0.164,0.082,1.173,1,"1","-0.5","10","all","ms"
"sigma.p.site",1.612,1.556,1.673,1.028,1.5,"1","-0.5","10","all","ms"
"per_chage_bci",12.4169951015867,8.05962799980041,17.4085204104817,NA,0,"1","-0.5","10","all","ms"
"mu.psi",0.495,0.319,0.657,1.541,0,"1","0","10","all","ms"
"sigma.psi.sp",0.618,0.513,0.756,1.003,0.5,"1","0","10","all","ms"
"mu.psi.yr",-0.084,-0.191,0.029,1.029,0,"1","0","10","all","ms"
"sigma.psi.yr",0.296,0.212,0.387,1.021,0.2,"1","0","10","all","ms"
"mu.p",-2.116,-2.217,-2.031,1.047,-0.5,"1","0","10","all","ms"
"sigma.p.sp",0.291,0.243,0.341,1.025,NA,"1","0","10","all","ms"
"p.yr",0.517,0.389,0.645,1.034,1,"1","0","10","all","ms"
"sigma.p.site",1.555,1.506,1.611,1.021,1.5,"1","0","10","all","ms"
"per_chage_bci",-3.20508110569993,-7.28572125467316,1.1445333893594,NA,0,"1","0","10","all","ms"
"mu.psi",0.51,0.401,0.654,1.171,0,"-0.5","-0.5","2","all","ms"
"sigma.psi.sp",0.525,0.415,0.663,1.026,0.5,"-0.5","-0.5","2","all","ms"
"mu.psi.yr",0.306,0.152,0.466,1.058,0,"-0.5","-0.5","2","all","ms"
"sigma.psi.yr",0.333,0.214,0.492,1.011,0.2,"-0.5","-0.5","2","all","ms"
