"var.names","mean","2.5%","97.5%","Rhat","actual.val","mu.psi.yr","mu.v.yr","r","case","sp"
"mu.p",-2.227,-2.322,-2.114,1.036,-0.5,"-1","-0.5","10","all","ms"
"sigma.p.sp",0.299,0.236,0.369,1.006,NA,"-1","-0.5","10","all","ms"
"p.yr",-0.89,-1.019,-0.763,1.031,-0.5,"-1","-0.5","10","all","ms"
"sigma.p.site",1.52,1.471,1.57,1.028,1.5,"-1","-0.5","10","all","ms"
"per_chage_bci",-34.1802361047254,-39.7343161757919,-29.9213497050857,NA,-46.211715726001,"-1","-0.5","10","all","ms"
"mu.psi",0.484,0.255,0.655,1.562,0,"-1","0","10","all","ms"
"sigma.psi.sp",0.674,0.558,0.83,1.025,0.5,"-1","0","10","all","ms"
"mu.psi.yr",-1.083,-1.175,-0.985,1.015,-1,"-1","0","10","all","ms"
"sigma.psi.yr",0.212,0.124,0.328,1.216,0.2,"-1","0","10","all","ms"
"mu.p",-2.15,-2.266,-2.058,1.097,-0.5,"-1","0","10","all","ms"
"sigma.p.sp",0.312,0.257,0.375,1,NA,"-1","0","10","all","ms"
"p.yr",-0.359,-0.472,-0.242,1.062,-0.5,"-1","0","10","all","ms"
"sigma.p.site",1.493,1.447,1.545,1.014,1.5,"-1","0","10","all","ms"
"per_chage_bci",-42.6604291193012,-47.0148723883467,-38.3055688699433,NA,-46.211715726001,"-1","0","10","all","ms"
"mu.psi",0.496,0.396,0.627,1.039,0,"0","-0.5","10","all","ms"
"sigma.psi.sp",0.545,0.434,0.692,1.013,0.5,"0","-0.5","10","all","ms"
"mu.psi.yr",0.191,0.029,0.356,1.006,0,"0","-0.5","10","all","ms"
"sigma.psi.yr",0.406,0.304,0.577,1.064,0.2,"0","-0.5","10","all","ms"
"mu.p",-2.3,-2.417,-2.201,1.105,-0.5,"0","-0.5","10","all","ms"
"sigma.p.sp",0.309,0.249,0.38,1.001,NA,"0","-0.5","10","all","ms"
"p.yr",-0.909,-1.028,-0.793,1.064,-0.5,"0","-0.5","10","all","ms"
"sigma.p.site",1.592,1.533,1.644,1.018,1.5,"0","-0.5","10","all","ms"
